foerderungsnehmer;sendername;gefoerdertes_objekt;foerderungsart;kategorie;zugesagte_foerderung;jahr;antragstermin
"T-ROCK GmbH";"T-Rock";"Rock ABC";"Inhalte- und Projektförderung HF";HF;"1000.00";2019;"1"
"T-ROCK GmbH";"T-Rock";"TRock Lokalnachrichten und Beiträge";"Inhalte- und Projektförderung HF";HF;"5000.00";2019;"1"
"Tirol TV GmbH";"Tirol TV";"Tirol Today";"Inhalte- und Projektförderung TV";TV;"160000.00";2019;"1"
"Tirol TV GmbH";TirolTV;"NR_Wahl_Sondersendungen_Livebericht";"Inhalte- und Projektförderung TV";TV;"15000.00";2019;"2"
"Tirol TV GmbH";"Tirol TV";"Tirol TV Akademie";"Ausbildungsförderung TV";TV;"15000.00";2019;"1"
"U1 Tirol Medien GmbH";"Radio U1 Tirol";Tirolerzeit;"Inhalte- und Projektförderung HF";HF;"25000.00";2019;"2"
"U1 Tirol Medien GmbH";"Radio U1 Tirol";Morgensendung;"Inhalte- und Projektförderung HF";HF;"40000.00";2019;"1"
"U1 Tirol Medien GmbH";"Radio U1 Tirol";Weltnachrichten;"Inhalte- und Projektförderung HF";HF;"7000.00";2019;"1"
"U1 Tirol Medien GmbH";"Radio U1 Tirol";"Sendetechnik Schulung";"Ausbildungsförderung HF";HF;"1050.00";2019;"2"
"U1 Tirol Medien GmbH";"Radio U1 Tirol";Tirolerzeit;"Inhalte- und Projektförderung HF";HF;"43000.00";2019;"1"
"Ursula Parzer-Hofer";"STV1 Bad Ischl regional TV";"Dahoam im Salzkammergut 2019";"Inhalte- und Projektförderung TV";TV;"12531.00";2019;"2"
"Ursula Parzer-Hofer";"STV1";"Wochenprogramm 2019";"Inhalte- und Projektförderung TV";TV;"58000.00";2019;"1"
"Verein Privatsenderpraxis";Privatsenderpraxis;"Aus- und Weiterbildungsprogramm 2019";"Ausbildungsförderung HF";HF;"225000.00";2019;"1"
"Vulkan TV GmbH";"Vulkan TV";"Vulkan TV";"Inhalte- und Projektförderung TV";TV;"45000.00";2019;"1"
"Vulkan TV GmbH";"Vulkan TV";"Schulungen Gregor F. Waltl";"Ausbildungsförderung TV";TV;"5883.00";2019;"1"
"Welle 1 Graz Der Rocksender GmbH";"Welle 1 Graz";"Welle 1 Morningshow Graz";"Inhalte- und Projektförderung HF";HF;"40000.00";2019;"1"
"Welle 1 Graz Der Rocksender GmbH";"Welle 1 Graz";"Welle 1 Drivetime Graz";"Inhalte- und Projektförderung HF";HF;"37000.00";2019;"1"
"Welle 1 Oberösterreich GmbH";"Welle 1 OÖ";"WELLE 1 Sonntag oberösterreichischer Zentralraum";"Inhalte- und Projektförderung HF";HF;"35000.00";2019;"2"
"Welle 1 Oberösterreich GmbH";"Welle 1 Steyr/Kirchdorf/Kremsmünster";"Welle 1 Morningshow OÖ Zentralraum";"Inhalte- und Projektförderung HF";HF;"25000.00";2019;"1"
"Welle Salzburg GmbH";"Welle 1 Kärnten";"Welle 1 Morningshow Kärnten";"Inhalte- und Projektförderung HF";HF;"50000.00";2019;"1"
"Welle Salzburg GmbH";"Welle 1 Salzburg";"Welle 1 Drivetime Salzburg";"Inhalte- und Projektförderung HF";HF;"50000.00";2019;"1"
"Welle Salzburg GmbH";"Welle 1 Kärnten";"WELLE 1 Sonntag Kärnten";"Inhalte- und Projektförderung HF";HF;"20000.00";2019;"2"
"Welle Salzburg GmbH";"Welle 1 Linz";"WELLE 1 Drivetime Linz";"Inhalte- und Projektförderung HF";HF;"35000.00";2019;"1"
"Welle Salzburg GmbH";"Welle 1 Linz";"WELLE 1 Morningshow Linz";"Inhalte- und Projektförderung HF";HF;"35000.00";2019;"1"
"Welle Salzburg GmbH";"Welle 1 OÖ";"WELLE 1 Sonntag Oberösterreich";"Inhalte- und Projektförderung HF";HF;"25000.00";2019;"2"
"Welle Salzburg GmbH";"Welle 1 Salzburg";"Welle 1 Morningshow Salzburg";"Inhalte- und Projektförderung HF";HF;"50000.00";2019;"1"
"Welle Salzburg GmbH";"Welle 1 Kärnten";"Welle 1 Drivetime Kärnten";"Inhalte- und Projektförderung HF";HF;"50000.00";2019;"1"
"Welle Salzburg GmbH";"Welle 1 Salzburg";"WELLE 1 Sonntag Salzburg";"Inhalte- und Projektförderung HF";HF;"25000.00";2019;"2"
"WH Media GmbH";"W24";"Urban mobile Journalism - next level";"Ausbildungsförderung TV";TV;"17150.00";2019;"1"
"WH Media GmbH";"W24";"Brennpunkt Medien - wie wir Alle besser werden im Umgang mit den Medien von morgen";"Inhalte- und Projektförderung TV";TV;"93000.00";2019;"2"
"WH Media GmbH";"W24";"W24 NACHRICHTEN 2019";"Inhalte- und Projektförderung TV";TV;"342000.00";2019;"1"
"WH Media GmbH";"W24";"Qualitätsstudie mit Reichweiten- und Kumulationsanalyse";"Reichweitenerhebungs- und Qualitätsstudienförderung TV";TV;"26456.00";2019;"2"
"WNTV GmbH";"WNTV GmbH";"WNTV-Wochenmagazin";"Inhalte- und Projektförderung TV";TV;"70000.00";2019;"1"
"WT1 Privatfernsehen GmbH";"WT1";"WT1 Ausbildungsförderung 2.HJ.2019";"Ausbildungsförderung TV";TV;"8400.00";2019;"2"
"WT1 Privatfernsehen GmbH";"WT 1";"WT1 AKTUELL";"Inhalte- und Projektförderung TV";TV;"40000.00";2019;"1"
"4M Digital Media OG";"reeins.tv";"Wochenmagazin 2020";"Inhalte- und Projektförderung TV";TV;"60000.00";2020;"1"
"4M Digital Media OG";"reeins.tv";"RE Aktuell by reeins.tv";"Corona bedingte Sonderförderung TV";TV;"30000.00";2020;"2"
"A. Digital Errichtungs- und Beteiligungs GmbH";"Oe24 TV";Tagesthemen;"Inhalte- und Projektförderung TV";TV;"400000.00";2020;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"Oe24 TV";Newsroom;"Inhalte- und Projektförderung TV";TV;"170000.00";2020;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"Oe24 TV";"News des Tages";"Inhalte- und Projektförderung TV";TV;"917373.00";2020;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"Oe24 TV";Sprechtraining;"Ausbildungsförderung TV";TV;"30000.00";2020;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"Oe24 TV";"Die Medien-Show";"Inhalte- und Projektförderung TV";TV;"122627.00";2020;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"Oe24 TV";"Top News";"Inhalte- und Projektförderung TV";TV;"150000.00";2020;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"Oe24 TV";"oe24 TV";"Corona bedingte Sonderförderung TV";TV;"1740000.00";2020;"2"
"A. Digital Errichtungs- und Beteiligungs GmbH";"Oe24 TV";"Wahl 2020 Wien";"Inhalte- und Projektförderung TV";TV;"120000.00";2020;"1"
"A1now TV GmbH";"A1now TV";"Was geht? Wöchentliches News & Diskussionsformat";"Corona bedingte Sonderförderung TV";TV;"66680.00";2020;"2"
"A1now TV GmbH";"A1now TV";"Musik & Jugendsendung";"Inhalte- und Projektförderung TV";TV;"85714.00";2020;"1"
"Andreas Pimeshofer";"TV MÜRZ";"TV MÜRZ";"Corona bedingte Sonderförderung TV";TV;"3442.00";2020;"2"
"Andreas Pimeshofer";"TV MÜRZ";"TV MÜRZ";"Inhalte- und Projektförderung TV";TV;"17500.00";2020;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Drivetime;"Inhalte- und Projektförderung HF";HF;"54083.00";2020;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Kärntens bestgelaunte Morgenshow";"Inhalte- und Projektförderung HF";HF;"98625.00";2020;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Nationale und internationale Nachrichten";"Inhalte- und Projektförderung HF";HF;"14744.00";2020;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Sammelantrag Kaufmännische Ausbildungen";"Ausbildungsförderung HF";HF;"7700.00";2020;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Erschließung neuer Zielgruppen, Ausbau von Tagesreichweiten & Steigerung der Hörverweildauer";"Ausbildungsförderung HF";HF;"7280.00";2020;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Das perfekte Wochenende inkl. Sunrise";"Inhalte- und Projektförderung HF";HF;"30000.00";2020;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Antenne Kärnten";"Corona bedingte Sonderförderung HF";HF;"198000.00";2020;"2"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Moderationsanalysen und On-Air-Training";"Ausbildungsförderung HF";HF;"6720.00";2020;"1"
"Antenne Salzburg GmbH";"Antenne Salzburg";"Salzburg_1.AT2020_SalzburgShow";"Inhalte- und Projektförderung HF";HF;"40000.00";2020;"1"
"Antenne Salzburg GmbH";"Antenne Salzburg";"Salzburg_1.AT2020_Berichterstattung";"Inhalte- und Projektförderung HF";HF;"87047.00";2020;"1"
"Antenne Salzburg GmbH";"Antenne Salzburg";"Salzburg_1.AT2020_Sprechtraining";"Ausbildungsförderung HF";HF;"2380.00";2020;"1"
"Antenne Salzburg GmbH";"Antenne Salzburg";"AntenneSalzburg_2.AT2020";"Corona bedingte Sonderförderung HF";HF;"228000.00";2020;"2"
"Antenne Salzburg GmbH";"Antenne Salzburg";"Salzburg_1.AT2020_Verkaufsschulung";"Ausbildungsförderung HF";HF;"4200.00";2020;"1"
"Antenne Salzburg GmbH";"Antenne Salzburg";"Salzburg_1.AT2020_MorgenShow";"Inhalte- und Projektförderung HF";HF;"100000.00";2020;"1"
"Antenne Salzburg GmbH";"Antenne Salzburg";"Salzburg_1.AT2020_LiveShow";"Inhalte- und Projektförderung HF";HF;"19000.00";2020;"1"
"Antenne Salzburg GmbH";"Antenne Tirol";"AntenneTirol_2.AT2020";"Corona bedingte Sonderförderung HF";HF;"77000.00";2020;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Musikplanung mit Musicmaster - Tipps und Tricks für Profis";"Ausbildungsförderung HF";HF;"3500.00";2020;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Moderationsanalysen und On-Air-Training";"Ausbildungsförderung HF";HF;"6720.00";2020;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Nationale und internationale Nachrichten";"Inhalte- und Projektförderung HF";HF;"33581.00";2020;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Antenne Steiermark";"Corona bedingte Sonderförderung HF";HF;"238000.00";2020;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Erschließung neuer Zielgruppen, Ausbau von Tagesreichweiten & Steigerung der Hörverweildauer";"Ausbildungsförderung HF";HF;"7280.00";2020;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Sammelantrag Kaufmännische Ausbildungen";"Ausbildungsförderung HF";HF;"14000.00";2020;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Drivetime;"Inhalte- und Projektförderung HF";HF;"61093.00";2020;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Muntermacher;"Inhalte- und Projektförderung HF";HF;"114215.00";2020;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"@work inkl. Antenne von 1-2";"Inhalte- und Projektförderung HF";HF;"25000.00";2020;"1"
"ANTENNE VORARLBERG GmbH";"ANTENNE VORARLBERG";"Workshop Regionale Kompetenz in der Moderation";"Ausbildungsförderung HF";HF;"2660.00";2020;"1"
"ANTENNE VORARLBERG GmbH";"ANTENNE VORARLBERG";"ANTENNE VORARLBERG";"Corona bedingte Sonderförderung HF";HF;"195000.00";2020;"2"
"ANTENNE VORARLBERG GmbH";"ANTENNE VORARLBERG";"ANTENNE VORARLBERG Fruhstucksradio";"Inhalte- und Projektförderung HF";HF;"101400.00";2020;"1"
"ANTENNE VORARLBERG GmbH";"ANTENNE VORARLBERG";"Nachrichten aus Österreich und der Welt";"Inhalte- und Projektförderung HF";HF;"18150.00";2020;"1"
"ANTENNE VORARLBERG GmbH";"ANTENNE VORARLBERG";"Moderatoren Aircheck";"Ausbildungsförderung HF";HF;"2366.00";2020;"1"
"ANTENNE VORARLBERG GmbH";"ANTENNE VORARLBERG";"Radio macht Schule";"Inhalte- und Projektförderung HF";HF;"9980.00";2020;"1"
"ANTENNE VORARLBERG GmbH";"ANTENNE VORARLBERG";"Vorarlberg Musiktest";"Reichweitenerhebungs- und Qualitätsstudienförderung HF";HF;"5950.00";2020;"1"
"ANTENNE VORARLBERG GmbH";"ANTENNE VORARLBERG";"Nachrichten Coaching Norbert Linke";"Ausbildungsförderung HF";HF;"4536.00";2020;"1"
"ANTENNE VORARLBERG GmbH";"ANTENNE VORARLBERG";"ANTENNE VORARLBERG Von 3 bis Frei";"Inhalte- und Projektförderung HF";HF;"60200.00";2020;"1"
"ANTENNE VORARLBERG GmbH";"ANTENNE VORARLBERG";"Sprecherziehung Hackbarth & von Lerchenfeld";"Ausbildungsförderung HF";HF;"11060.00";2020;"1"
"Arabella Digital GmbH";"Arabella Relax";"Arabella Relax";"Corona bedingte Sonderförderung HF";HF;"16000.00";2020;"2"
"ARBÖ, Auto-Motor- und Radfahrerbund Österreich";"ARBÖ Verkehrsradio";"ARBÖ Verkehrsradio Morgen";"Inhalte- und Projektförderung HF";HF;"28000.00";2020;"1"
"ARBÖ, Auto-Motor- und Radfahrerbund Österreich";"ARBÖ Verkehrsradio";"ARBÖ Verkehrsradio Sonntag Vormittag";"Corona bedingte Sonderförderung HF";HF;"10000.00";2020;"2"
"ATV Aichfeld Film- und Videoproduktion GmbH";"ATV Aichfeld";"Medienplattform Magazin";"Corona bedingte Sonderförderung TV";TV;"25281.00";2020;"2"
"ATV Privat TV GmbH & Co KG";ATV;"ATV Aktuell - Im Fokus";"Inhalte- und Projektförderung TV";TV;"17885.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"Österreichs größte Umweltsünden";"Inhalte- und Projektförderung TV";TV;"18054.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"Aufsager- und Schaltentraining";"Ausbildungsförderung TV";TV;"1590.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;Storytelling;"Ausbildungsförderung TV";TV;"2940.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;Sprechtraining;"Ausbildungsförderung TV";TV;"3321.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"ATV Aktuell inkl. Wetter";"Inhalte- und Projektförderung TV";TV;"921567.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"ATV Covid-19 Inhalteförderung";"Corona bedingte Sonderförderung TV";TV;"1100000.00";2020;"2"
"ATV Privat TV GmbH & Co KG";ATV;"ATV Aktuell - Die Woche";"Inhalte- und Projektförderung TV";TV;"53194.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"Die Rauchfangkehrer";"Inhalte- und Projektförderung TV";TV;"32937.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"Der Fall: Walfried Janka (AÄ: 2 Folgen Reportage)";"Inhalte- und Projektförderung TV";TV;"24646.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"Moderatorencoaching ATV";"Ausbildungsförderung TV";TV;"4440.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"Mein Recht";"Inhalte- und Projektförderung TV";TV;"74825.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"Brand Tracking ATV";"Reichweitenerhebungs- und Qualitätsstudienförderung TV";TV;"21502.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"Worst of Austria (AÄ: 20 Jahre Katastrophe Kaprun)";"Inhalte- und Projektförderung TV";TV;"7176.00";2020;"1"
"ATV Privat TV GmbH & Co KG";ATV;"ATV 2 Aktuell";"Inhalte- und Projektförderung TV";TV;"45000.00";2020;"1"
"Bad Kleinkirchheimer Sat-Kabelfernsehen GmbH";"Kult1";"KULT Wochenprogramm";"Inhalte- und Projektförderung TV";TV;"30000.00";2020;"1"
"Benjamin Mühlbacher";donau_Kanal;donau_Kanal;"Corona bedingte Sonderförderung TV";TV;"10500.00";2020;"2"
"Benjamin Mühlbacher";donau_Kanal;"donau_Kanal DER TALK";"Inhalte- und Projektförderung TV";TV;"5000.00";2020;"1"
"Benjamin Mühlbacher";donau_Kanal;donau_Kanal;"Inhalte- und Projektförderung TV";TV;"15000.00";2020;"1"
"Bezirks TV St.Veit Produktions- und Vertriebs.ges.m.b.H.";"BTV Kärnten";"Kärnten - bewegte Geschichte";"Corona bedingte Sonderförderung TV";TV;"40000.00";2020;"2"
"Bezirks TV St.Veit Produktions- und Vertriebs.ges.m.b.H.";"BTV Kärnten";Informationssendung;"Inhalte- und Projektförderung TV";TV;"45000.00";2020;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Vöcklabruck";"Wochenprogramm TV1 Vöcklabruck";"Inhalte- und Projektförderung TV";TV;"50000.00";2020;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Vöcklabruck";"TV1 - Gesamtprogramm";"Corona bedingte Sonderförderung TV";TV;"297957.00";2020;"2"
"Bezirks TV Vöcklabruck GmbH";"BTV Vöcklabruck";"Wochenprogramm TV1 Salzkammergut";"Inhalte- und Projektförderung TV";TV;"50000.00";2020;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Vöcklabruck";"Wochenprogramm TV1 Zentralraum";"Inhalte- und Projektförderung TV";TV;"30000.00";2020;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Vöcklabruck";"Täglich aktuell TV1 2020";"Inhalte- und Projektförderung TV";TV;"170000.00";2020;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Vöcklabruck";"Wochenprogramm TV1 Innviertel";"Inhalte- und Projektförderung TV";TV;"30000.00";2020;"1"
"Dr. Rainer Hilbrand (Ausseer Regionalfernsehen)";"ARF Ausseer Regionalfernsehen";"Ausseer Regionalfernsehen";"Inhalte- und Projektförderung TV";TV;"60000.00";2020;"1"
"Elektrizitätswerke Frastanz Gesellschaft m.b.H.";"Dreischwestern TV";"Dreischwestern TV - Frastanz aktuell";"Inhalte- und Projektförderung TV";TV;"15000.00";2020;"1"
"Elisabeth Keplinger-Radler";"Mühlviertel TV";"Mühlviertel TV - Corona";"Corona bedingte Sonderförderung TV";TV;"26000.00";2020;"2"
"Entspannungsfunk Gesellschaft mbH";"Radio LoungeFM OÖ";LoungeFM;"Corona bedingte Sonderförderung HF";HF;"15000.00";2020;"2"
"Entspannungsfunk Gesellschaft mbH";"Radio LoungeFM OÖ";Lokalnachrichten;"Inhalte- und Projektförderung HF";HF;"17000.00";2020;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"Gesamtprogramm NOW Radio";"Corona bedingte Sonderförderung HF";HF;"5000.00";2020;"2"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"Nachrichten aus Österreich und der Welt - aus christlicher Perspektive & Wetter";"Inhalte- und Projektförderung HF";HF;"11000.00";2020;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"Gesamtprogramm ERF Plus Österreich";"Corona bedingte Sonderförderung HF";HF;"9000.00";2020;"2"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";"#Vienna";"Inhalte- und Projektförderung HF";HF;"4332.00";2020;"1"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";"Campus Leben";"Inhalte- und Projektförderung HF";HF;"6415.00";2020;"1"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";Wissenschaftsradio;"Inhalte- und Projektförderung HF";HF;"7669.20";2020;"1"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";"Art Beat (umgewandelt in Perspektiven)";"Inhalte- und Projektförderung HF";HF;"4280.00";2020;"1"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";Kulturcollage;"Inhalte- und Projektförderung HF";HF;"5225.00";2020;"1"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";"Hot 'N New";"Inhalte- und Projektförderung HF";HF;"3106.00";2020;"1"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";Tonwerkstatt;"Inhalte- und Projektförderung HF";HF;"5451.60";2020;"1"
"Forum Journalismus TV/Radio";"Forum Journalismus TV/Radio";"Zertifikatslehrgang Digitaljournalismus TV/Radio 2020";"Ausbildungsförderung AE";AE;"51103.00";2020;"1"
"Gerhard Scott";"Ennstal TV";"Schatzkiste Ennstal  eine Region rückt zusammen";"Corona bedingte Sonderförderung TV";TV;"15000.00";2020;"2"
"Gerhard Scott";"Ennstal TV";"Ennstal TV Wochenmagazin";"Inhalte- und Projektförderung TV";TV;"60000.00";2020;"1"
"gotv Fernseh GmbH";gotv;"Resident Host";"Inhalte- und Projektförderung TV";TV;"34500.00";2020;"1"
"gotv Fernseh GmbH";gotv;"Hosted by Local Hero";"Inhalte- und Projektförderung TV";TV;"34500.00";2020;"1"
"gotv Fernseh GmbH";gotv;gotv;"Corona bedingte Sonderförderung TV";TV;"62300.00";2020;"2"
"HT1 Medien GmbH";"HT1 Innviertel";"HT1 - Innviertel";"Inhalte- und Projektförderung TV";TV;"32000.00";2020;"1"
"HT1 Medien GmbH";"HT1 Hausruck";"HT1 Programm";"Corona bedingte Sonderförderung TV";TV;"60000.00";2020;"2"
"HT1 Medien GmbH";"HT1 Hausruck";"HT1 - Hausruckviertel";"Inhalte- und Projektförderung TV";TV;"33000.00";2020;"1"
"Image Line Medienproduktion GmbH";"INFO TV Wochenprogramm";"INFO TV Regionalfernsehen Wochenprogramm Korrektur 21_11-2019";"Inhalte- und Projektförderung TV";TV;"20000.00";2020;"1"
"Image Line Medienproduktion GmbH";"INFO TV Wochenprogramm";"INFO TV Regionalfernsehen";"Corona bedingte Sonderförderung TV";TV;"18058.00";2020;"2"
"ITM-NET GmbH";"HighLive Radio";"High Live Wochenjournal";"Inhalte- und Projektförderung HF";HF;"16500.00";2020;"1"
"ITM-NET GmbH";"Vienna Hood Music";"Epische Dichtung";"Inhalte- und Projektförderung HF";HF;"7500.00";2020;"1"
"ITM-NET GmbH";"Vienna Hood Music";"Girl Power Spezial";"Inhalte- und Projektförderung HF";HF;"7500.00";2020;"1"
"ITM-NET GmbH";"HighLive Radio";"QUALIMA - Qualitäts- und Marktoffensive der ITM GmbH 2020";"Corona bedingte Sonderförderung HF";HF;"14897.00";2020;"2"
"Kabel TV Lampert GmbH & Co KG";"RTV Vorarlberg";"PRRF-RTV-Vorarlberg Magazin";"Inhalte- und Projektförderung TV";TV;"79000.00";2020;"1"
"kanal3 Regionalfernseh GmbH";"kanal3 Regionalfernseh GmbH";"kanal3 2terAntragstermin Covid-19";"Corona bedingte Sonderförderung TV";TV;"69293.00";2020;"2"
"kanal3 Regionalfernseh GmbH";"kanal3 Regionalfernseh GmbH";Verkaufstraining;"Ausbildungsförderung TV";TV;"2520.00";2020;"1"
"kanal3 Regionalfernseh GmbH";"kanal3 Regionalfernseh GmbH";"kanal3 - steiermark";"Inhalte- und Projektförderung TV";TV;"129230.00";2020;"1"
"kanal3 Regionalfernseh GmbH";"kanal3 Regionalfernseh GmbH";Moderationstraining;"Ausbildungsförderung TV";TV;"2100.00";2020;"1"
"kanal3 Regionalfernseh GmbH";"kanal3 Regionalfernseh GmbH";"kanal3 - obersteiermark";"Inhalte- und Projektförderung TV";TV;"35000.00";2020;"1"
"kanal3 Regionalfernseh GmbH";"kanal3 Regionalfernseh GmbH";"Adobe After Effects Grundlagen";"Ausbildungsförderung TV";TV;"3150.00";2020;"1"
"Kapfer Multimedia GmbH";"Kremstal direkt";Wochenprogramm;"Inhalte- und Projektförderung TV";TV;"25000.00";2020;"1"
"Kapfer Multimedia GmbH";"Kremstal Direkt";"TV Regional Antrag 2";"Corona bedingte Sonderförderung TV";TV;"22572.00";2020;"2"
"Kirchliche Stiftung Radio Stephansdom";"radio klassik Stephansdom";"Inhaltefoerderung_Gesamt Block_Covid19_radio klassik Stephansdom";"Corona bedingte Sonderförderung HF";HF;"170000.00";2020;"2"
"Kirchliche Stiftung Radio Stephansdom";"radio klassik Stephansdom";"Spezialsendungen Religion";"Inhalte- und Projektförderung HF";HF;"110000.00";2020;"1"
"Kirchliche Stiftung Radio Stephansdom";"radio klassik Stephansdom";"Morning Show - Allegro Magazin mit Beiträgen";"Inhalte- und Projektförderung HF";HF;"70000.00";2020;"1"
"Kirchliche Stiftung Radio Stephansdom";"radio klassik Stephansdom";Sprechtraining;"Ausbildungsförderung HF";HF;"5250.00";2020;"1"
"Krone Multimedia GesmbH & Co KG";"krone.tv";SPORT;"Inhalte- und Projektförderung TV";TV;"272617.00";2020;"1"
"Krone Multimedia GesmbH & Co KG";"krone.tv";"KMM Damals";"Inhalte- und Projektförderung TV";TV;"297400.00";2020;"1"
"Krone Multimedia GesmbH & Co KG";"krone.tv";"#brennpunkt";"Inhalte- und Projektförderung TV";TV;"108518.00";2020;"1"
"Krone Multimedia GesmbH & Co KG";"krone.tv";NEWS;"Inhalte- und Projektförderung TV";TV;"437349.00";2020;"1"
"Krone Multimedia GesmbH & Co KG";"krone.tv";"KMM Das freie Wort";"Inhalte- und Projektförderung TV";TV;"124116.00";2020;"1"
"Krone Multimedia GesmbH & Co KG";"krone.tv";"krone.tv - 2. Antragstermin";"Corona bedingte Sonderförderung TV";TV;"1200000.00";2020;"2"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"kronehit @ work 9-14";"Inhalte- und Projektförderung HF";HF;"45273.00";2020;"1"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;Sprechtechnik;"Ausbildungsförderung HF";HF;"720.00";2020;"1"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"Austria Music Test";"Reichweitenerhebungs- und Qualitätsstudienförderung HF";HF;"22250.00";2020;"1"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"Training Strategie / Produktion - The Sound Barn";"Ausbildungsförderung HF";HF;"9600.00";2020;"1"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"kronehit NEWSBEAT";"Inhalte- und Projektförderung HF";HF;"137657.00";2020;"1"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"Der kronehit Mach Mich Munter Morgen am Samstag";"Inhalte- und Projektförderung HF";HF;"5710.00";2020;"1"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"Der kronehit facebook fake check";"Inhalte- und Projektförderung HF";HF;"10096.00";2020;"1"
"KRONEHIT Radio BetriebsgmbH.";kronehit;"2. Antrag 2020 gesamt - COVID 19";"Corona bedingte Sonderförderung HF";HF;"365000.00";2020;"2"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"kronehit drivetime 14-18";"Inhalte- und Projektförderung HF";HF;"15352.00";2020;"1"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"Training Moderation/Strategie - Matthias Pfaff";"Ausbildungsförderung HF";HF;"4800.00";2020;"1"
